19.3,11,15.6,0.28,4.6,7,1.19,0.57,56,45,0.804,50
27,28,34.2,0.32,8.2,8.3,0.48,1.04,112,85,0.75,33.3
27,22,28.4,0.32,6.4,7.9,0.48,0.81,91,69,0.758,37
29,28,33.4,0.29,5.4,4,0.69,0.97,103,80,0.777,34.5
29,41,48.7,0.33,8.7,5.5,0.38,1.41,152,111,0.73,31
